id,firstname,lastname,Random Integer,Random Float,Random Double
2145,Nita,Radu,805,397.53,451.4
2146,Emma,Holtz,513,286.28,1748.9
2147,Evaleen,Charity,979,522.12,8965.1
2148,Hollie,Bouchard,599,555.62,9613.9
2149,Lory,Tomasina,931,865,7346.6
2150,Meriel,Kirstin,945,736.73,6172.6
2151,Genovera,Anis,997,589.37,2497.3
2152,Stacey,Harday,123,853.69,81.2
2153,Wileen,Orlene,466,769.75,4761.3
2154,Sashenka,Clara,200,702.03,2749
2155,Livvyy,Cutlerr,250,194.57,3454.3
2156,Nataline,Cassius,62,719.33,386.6
2157,Coral,Kirstin,702,542.29,4161.1
2158,Peri,Lory,787,400.89,1917.6
2159,Phedra,Cookie,728,376.3,3323.2
2160,Adelle,Isidore,512,321.46,8267.6
2161,Fred,Abbot,129,567.81,3528.8
2162,Sybille,Madelene,538,412.89,6941.6
2163,Tami,Cassius,247,373.89,4068.2
2164,Olivette,Even,659,878.65,6508.9
2165,Gusty,Rheingold,564,320.19,5156.3
2166,Tomasina,Chick,590,966.6,7498.5
2167,Jennica,Cohdwell,209,591.28,7211.1
2168,Tabbatha,Guthrie,317,859.45,199.2
2169,Helsa,Phi,589,861.89,7367.6
2170,Sybille,Niles,172,295.88,9033.6
2171,Hettie,Kiyoshi,752,359.8,6111.5
2172,Melanie,Eckblad,808,61.77,7875.8
2173,Janeczka,Regan,228,613.44,9528
2174,Melanie,Richers,823,619.93,8131
2175,Vanessa,Vastah,964,579.06,8119
2176,Rosene,Henrie,413,994.9,3403.5
2177,Rayna,Lissi,688,948.77,3338.7
2178,Flo,Erich,164,701.76,7784.5
2179,Goldie,Garbe,831,368.62,959.6
2180,Ketti,Verger,474,242.99,9239.3
2181,Carol-Jean,Nore,853,208.59,6284.5
2182,Andeee,Payson,831,898.1,2335.2
2183,Harrietta,Stacy,807,241.41,1261
2184,Cristabel,Thar,712,486.49,6289.8
2185,Wilma,Ietta,248,494.11,7890.5
2186,Mahalia,Pearse,557,851.59,3454.9
2187,Carlie,Ball,313,540.22,350.4
2188,Kristina,Parette,12,885.52,3501.6
2189,Viki,Wadell,891,310.96,9166.5
2190,Carolina,Tjon,795,491.13,201.7
2191,Lynea,Orlene,841,130.65,1156.1
2192,Christian,Rese,904,897.73,3710.8
2193,Elsie,Whiffen,238,216.03,3079.4
2194,Consuela,Fabiola,877,44.09,8421.4
2195,Jsandye,Willie,110,922.47,610.4
2196,Rori,Fleeta,285,112.92,1620.5
2197,Albertina,Hollingsworth,773,930.54,8444.4
2198,Ericka,Artie,506,315.97,9685.5
2199,Nariko,Isacco,645,836.01,3899.7
2200,Margarette,Revkah,845,827.08,9964.6
2201,Sam,Corilla,199,786.99,3579.6
2202,Roseline,Jotham,27,349.7,6900.8
2203,Corina,Riordan,140,476.7,1639.3
2204,Daphne,Sinegold,716,614.36,2254.6
2205,Lynde,Virgin,644,157.33,8559.6
2206,Tori,Shanley,39,120.49,4516.8
2207,Mary,Kat,643,811.23,7632.5
2208,Allis,Newell,166,787.63,7262.6
2209,Gretal,Suanne,144,907.04,7597.9
2210,Lory,Pitt,862,638.71,3816.8
2211,Maridel,Kannry,407,922.69,1165.2
2212,Kittie,Japeth,36,407.39,74.2
2213,Norine,Karylin,434,587.27,1528.4
2214,Tilly,Ephrem,9,565.83,5451
2215,Noelle,Hedve,376,198.68,3292
2216,Susette,Heidt,489,619.47,7209.6
2217,Carly,Modie,807,293.44,7807.5
2218,Rani,Glovsky,621,14.31,3453
2219,Abbie,Gilmour,789,552.2,1763.7
2220,Willetta,Kamaria,815,176.44,9085.6
2221,Rori,Ivens,147,305.86,2740.8
2222,Darci,Oscar,721,968.51,2773.4
2223,Ellette,Bach,581,304.91,7135.5
2224,Mellicent,Yerkovich,195,44.41,3832.7
2225,Roseline,Japeth,334,273.9,5809.4
2226,Norine,Boycey,66,443.97,2955.7
2227,Carolina,LaRue,542,683.38,6091.9
2228,Elvira,Couture,460,866.09,9984.1
2229,Katleen,Orpah,458,860.85,8040.3
2230,Kaja,Jena,542,695.64,311.4
2231,Marjie,Raimondo,843,490.24,4621.1
2232,Emelina,Phyllis,160,484.15,6830
2233,Desirae,Hachmin,785,922.14,3259.4
2234,Lila,Hashim,826,151.92,387.3
2235,Lucy,Vale,785,260.15,9674.5
2236,Rhea,Georas,538,820.65,5752.3
2237,Sarette,Lutero,803,395.38,1238.6
2238,Philis,Oster,684,303.33,4355.5
2239,Amelia,Isidore,533,961.68,4735.4
2240,Maye,Toor,319,905.58,2838.3
2241,Damaris,Mozelle,123,137.92,626.1
2242,Dode,Vivle,829,446.84,213.3
2243,Sherrie,Dosia,189,149.94,7212.9
2244,Gabriellia,Albertine,478,901.35,7634.5
2245,Gabi,Septima,382,477.73,7098.3
2246,Camile,Rolf,587,798.24,794
2247,Shirlee,Regan,609,18.74,3060.8
2248,Yetty,Edvard,497,74.79,2310.4
2249,Flo,Chandler,745,564.21,9439.6
2250,Jennica,Bari,941,346.06,2835.3
2251,Briney,Kauppi,738,934.17,2685.8
2252,Lusa,Vale,35,751.5,5354.5
2253,Ardeen,Keelia,242,137.32,9833.3
2254,Tobe,Franza,806,101.71,923.3
2255,Helsa,Jobi,778,558.36,4333.8
2256,Tatiania,Narton,625,562.79,4639
2257,Leontine,Valerio,583,569.7,5219
2258,Evaleen,Grosz,297,719.61,366.8
2259,Gale,Ruvolo,879,768.51,8833.7
2260,Winny,Esmaria,25,61.74,3975.3
2261,Glenda,Odell,98,185.95,9221.4
2262,Betta,Wareing,107,516.93,5124.5
2263,Kaia,Wesle,372,693.7,8711.7
2264,Lizzie,Ade,500,709.12,9080.8
2265,Maurene,Lynn,211,993.75,8232.5
2266,Maisey,Haldas,548,581.42,1427.9
2267,Donnie,Esmaria,278,89.53,5449.5
2268,Elsie,Elisha,1000,835,6734.2
2269,Fanny,Secrest,795,123.04,3381
2270,Esmeralda,Lanita,807,561.12,2706
2271,Concettina,Malvino,902,32.56,5261.3
2272,Teddie,Linehan,360,81.44,5942.4
2273,Marcy,Dudley,154,114.46,9764.2
2274,Nerta,Bari,385,629.82,6947.5
2275,Phedra,Jerald,844,914.86,2590.1
2276,Tobe,Ax,418,162.86,1145.5
2277,Binny,Pacorro,53,538.25,8138.1
2278,Ezmeralda,Kaja,799,697.71,1306.9
2279,Barbi,Baylor,166,492.98,7766.5
2280,Lusa,Hourigan,354,260.56,5397.1
2281,Jennica,Wooster,971,885.9,5722.7
2282,Elvira,Meter,564,142.78,3050.3
2283,Therine,Aaberg,811,527.17,403.7
2284,Meghann,Ephrem,126,602.73,3125.2
2285,Jaclyn,Margret,639,472.63,5560.6
2286,Roseline,Fontana,832,740.39,4518.5
2287,Beverley,August,283,530.24,6474.7
2288,Melanie,Engdahl,580,184.28,6878.1
2289,Madeleine,Schalles,167,649.3,105.5
2290,Anica,Ivens,550,579.1,3290.4
2291,Gloria,Emmaline,11,145.67,3714.6
2292,Lynea,Lowry,834,564.17,7481.7
2293,Sharai,Thar,691,896.61,6871.9
2294,Clementine,Felecia,396,460.46,6439.5
2295,Lorenza,Quinn,504,49.83,3461.5
2296,Ardeen,Bow,546,752.66,2116.6
2297,Lynde,Faust,259,444.07,3756.2
2298,Malina,Arquit,911,39.43,7736
2299,Ileana,Kronfeld,310,986.26,4238.2
2300,Jordan,Dawkins,225,811.25,602.1
2301,Jenda,Bevin,367,199.4,1560.6
2302,Gerianna,Libna,890,750.78,5762.7
2303,Tierney,Irmine,657,913.9,9673.7
2304,Winifred,Brotherson,341,566.85,2452.4
2305,Elka,Dominy,381,617.57,6444
2306,Morganica,Mayeda,440,87.91,4313.2
2307,Janis,Lory,460,442.2,7931.9
2308,Ofilia,Yusuk,75,490.73,7637.1
2309,Phedra,Nance,274,989.27,9868.7
2310,Gale,Publia,157,610.85,7686.7
2311,Starla,Francene,983,872.8,4468.3
2312,Marinna,Burkle,60,368.55,1457.6
2313,Jerry,Connelly,975,729.05,8534.4
2314,Valeda,Caitlin,477,612.54,7906.9
2315,Cecile,Dielu,673,714.82,719
2316,Olivette,O'Neill,990,494.81,174.3
2317,Lily,Korey,397,61.94,5727.1
2318,Philis,Love,189,116.55,1.2
2319,Elfreda,Ehrman,787,682.12,5283.4
2320,Maryellen,Maxi,569,860.68,6975.4
2321,Carly,Lasley,69,752.17,6090.3
2322,Corly,Stanwood,5,23.2,936
2323,Daryl,Eno,913,234.05,5492.1
2324,Marsiella,Cristi,562,432.29,3501.5
2325,Fayre,Moseley,720,451.47,8721.6
2326,Doralynne,Berriman,519,398.69,2114.7
2327,Briney,Dreda,270,919.77,6808.7
2328,Peri,Cressida,724,817.62,8984.9
2329,Starla,Yuille,102,761.25,1369.8
2330,Cyndie,Rillings,625,848.38,5530.9
2331,Rosabelle,Cadmar,904,523.68,7583.9
2332,Hope,Cassius,285,170.97,107.4
2333,Maurene,Simmonds,161,222.55,2114.9
2334,Feliza,Waite,624,983.92,343
2335,Fred,Loleta,276,444.97,1876.6
2336,Miquela,Teryn,256,899.22,8981.8
2337,Imojean,Maroney,676,570.32,2098.5
2338,Taffy,Lane,455,19.24,3942.6
2339,Margette,Pandolfi,202,74.66,8222.2
2340,Desirae,Raffo,750,747.08,3545.4
2341,Ingrid,Rese,566,43.95,5741.6
2342,Amii,Bollay,557,565.67,7048.6
2343,Eolanda,Jammal,226,20.56,1539.4
2344,Mamie,Hirsch,145,527.31,3613.1
2345,Ofilia,Aloise,960,379.83,2365.3
2346,Sidoney,Othilia,718,304.53,5724.7
2347,Moyna,Carleen,352,470.33,6348.9
2348,Rori,Philoo,692,425.8,6337.3
2349,Elka,Swanhildas,600,710.72,9881.3
2350,Celisse,Dimitris,605,552.82,6435.3
2351,Eolanda,Masao,71,171.93,1819.7
2352,Marleah,Maples,612,398.04,6398.3
2353,Tilly,Sisile,946,712.03,4634.1
2354,Netty,Longfellow,509,811.31,891.2
2355,Ermengarde,Milson,863,69.93,6735.6
2356,Roz,Nedrud,598,459.25,2758.3
2357,Joy,Garbe,831,499.19,960.1
2358,Elfreda,Tiffa,439,281.76,4730.9
2359,Viki,Olnee,722,737.2,5019.1
2360,Edee,Rooney,32,414.29,9473.4
2361,Sean,Birdella,511,175.29,9515.3
2362,Tonia,Audly,486,248.6,370.4
2363,Loree,Mathilde,342,252.4,5851
2364,Kial,Tice,938,538.21,3156.7
2365,Yolane,Leler,800,743.21,2071.2
2366,Florencia,Emmy,747,98.63,9786.5
2367,Ethel,Luhe,283,883.95,7320.9
2368,Stacey,Japeth,871,929.76,2418.2
2369,Miquela,Modie,656,39.09,7380.1
2370,Nikki,Sekofski,506,284.04,4623
2371,Tera,Payson,428,958.35,4469.4
2372,Binny,Standing,500,709.43,3873.8
2373,Leona,Oneida,822,64.5,1806.2
2374,Gilda,Diann,72,183.26,7778
2375,Corina,Means,962,527.21,6211
2376,Daune,Beniamino,589,551.25,2618.3
2377,Cathie,Erskine,169,957.34,184
2378,Rhea,Cordi,978,660.69,5630.5
2379,Rochette,Erich,995,829.16,8908.7
2380,Kimberley,Winthorpe,986,327.57,1945.9
2381,Ursulina,Kesley,305,814.3,5320
2382,Odessa,Zola,941,293.76,2302.6
2383,Caressa,Swanhildas,229,354.66,4626.3
2384,Cristine,Podvin,349,795.52,3802.4
2385,Ebonee,Sadowski,794,456.73,5188.1
2386,Susette,Chandler,467,36.57,3044.2
2387,Elsie,Wareing,156,908.94,6451.6
2388,Ileana,Yusuk,799,418.61,8048.1
2389,Jacquetta,Germann,81,679.56,6409.1
2390,Amii,Devlen,62,76.9,5213
2391,Fanny,Lewes,751,244.97,6207.2
2392,Kore,Angelis,97,516.33,8012.1
2393,Nita,Kaete,161,668.47,4192.3
2394,Cecile,Argus,967,442.45,3493.8
2395,Diena,Bergman,390,593.31,4305.3
2396,Merle,Dahlia,187,161.19,9746.2
2397,Annecorinne,Glenden,687,788.81,8091.8
2398,Lenna,Burch,589,44.82,2190.7
2399,Carlie,Melony,613,970.1,7702.8
2400,Kimberley,Teryn,626,325.03,8180.6
2401,Lisette,Kress,127,456.99,7761.8
2402,Lanna,Cassius,655,229.37,7536.5
2403,Roseline,Deegan,514,174.71,1090
2404,Sophia,Terrence,213,485.95,2939.8
2405,Merry,Tatianas,212,120.69,2215.7
2406,Robbi,Lory,970,975.54,9956.9
2407,Sheree,Halsey,933,44.96,579.4
2408,Charmaine,Bow,763,368.02,8258.6
2409,Christal,Colyer,70,297.97,5639.3
2410,Dyann,Pulsifer,818,990.51,8867.5
2411,Carly,Kimmie,386,356.82,7801
2412,Brandise,Roxanna,574,381.48,5277.8
2413,Juliane,Clie,220,330.2,2098.7
2414,Myrtice,Audly,888,626.86,4153.4
2415,Heida,Buffum,332,888.35,9207
2416,Jany,Darrell,221,43.68,8365.1
2417,Merci,Kare,451,28.24,4463.6
2418,Demetris,Byrne,165,612.96,3776.3
2419,Dania,Monaco,133,891.99,2607.9
2420,Wanda,Granoff,608,284.87,3991.2
2421,Inga,Ehrman,582,850.92,2917.1
2422,Roz,Urania,865,728.07,8168
2423,Jenda,Yorick,732,497.99,5973.9
2424,Alejandra,Robertson,7,252.08,9480.3
2425,Lynea,Talia,767,223.93,8526.2
2426,Livvyy,Tomasina,155,384.28,4113.6
2427,Carilyn,Idelia,771,68.29,466.9
2428,Karlee,Ade,910,216.43,9110.1
2429,Meg,Berriman,804,572.65,678.6
2430,Meghann,Leler,793,67.66,9239.7
2431,Mady,Helve,441,375.48,6022.8
2432,Rochette,Korey,940,387.52,1046.6
2433,Dorene,Eldrid,734,626.38,3197.5
2434,Farrah,Chick,895,996.21,7762.2
2435,Brena,Ioab,375,942.4,1733.9
2436,Daphne,Katrine,181,525.82,8481.3
2437,Brianna,Lamoree,842,102.89,4585.4
2438,Verla,Lowry,950,373.06,4830.9
2439,Emilia,Trace,969,343.65,5697.1
2440,Joane,Vale,693,461.08,836
2441,Lila,Cornelia,224,848.89,6860.2
2442,Elie,Tound,656,613.63,9458.9
2443,Lesly,Avi,333,720.96,4603.9
2444,Gavrielle,Garek,246,114.42,9820.5
2445,Elmira,Capello,334,634.23,9383.2
2446,Frieda,Audly,425,897.42,2843.9
2447,Nannie,Rossner,382,590.16,7392.2
2448,Beth,Ferino,587,104.68,1780
2449,Chandra,Reinke,643,240.3,7461.8
2450,Atlanta,Bates,982,810.27,9208.7
2451,Betta,Nance,543,412.15,7046.6
2452,Candy,Dex,340,846.93,9527.7
2453,Lory,Rurik,631,402.81,7977.2
2454,Kamilah,Loleta,65,835.55,8678.6
2455,Elyssa,Bobbee,354,630.9,8264.9
2456,Hannis,Dannye,271,353.69,8074.4
2457,Daune,Atonsah,24,605.04,4579.2
2458,Claresta,Gower,57,188.08,5791.3
2459,Angelique,Brotherson,920,56.28,8741.6
2460,Arlina,Arne,61,251.39,107.5
2461,Lisette,Kristi,261,613.31,4066.4
2462,Sheree,Turne,70,192.37,686.1
2463,Mahalia,Baylor,377,290.55,6978.5
2464,Gretal,Levey,416,991.55,283.4
2465,Edith,Mayeda,26,47.19,4330.4
2466,Katuscha,Rudolph,114,553.98,8857.7
2467,Yetty,Braun,551,5.64,9411.9
2468,Claudina,Havens,2,537.12,2641.9
2469,Corly,Amadas,977,432.68,3696.2
2470,Korrie,Screens,614,868.75,1828.6
2471,Margalo,Whiffen,626,909.02,2435.5
2472,Gwenneth,Erlandson,526,99.23,1424.6
2473,Maurene,Myrilla,318,108.29,453.5
2474,Orelia,Daniele,425,176.79,1010.6
2475,Vere,Malvino,492,657.2,2085.1
2476,Dyann,Esmaria,215,698.36,8790.2
2477,Goldie,Lymann,282,204.17,7908.5
2478,Marylou,Soneson,447,525.63,7537.2
2479,Shandie,Shirberg,755,116.57,9765.9
2480,Sarette,Ax,305,290.74,9505
2481,Rhoda,Marisa,386,964.93,9318
2482,Aili,Euridice,175,6.87,8743.3
2483,Christal,Ventre,461,823.44,4631.8
2484,Annaliese,Joni,112,510.57,8182.5
2485,Kassey,Buttaro,366,944.69,95.1
2486,Ariela,Allare,278,849.82,4919.6
2487,Anica,Sothena,707,33.61,1619.5
2488,Jean,Felizio,400,312.35,8172.4
2489,Corly,Stephie,440,415.33,6203.9
2490,Christian,Tarrant,748,22.57,5888
2491,Adriana,Kenwood,633,394.51,8916
2492,Sallie,Alisia,943,389.43,3673.4
2493,Tabbatha,Bivins,197,504.37,6607.6
2494,Evaleen,Gibbeon,926,875.39,8504.7
2495,Harrietta,Garek,293,555.18,9327.2
2496,Carlie,Faust,815,84.67,441.6
2497,Maridel,Alice,841,621.13,348
2498,Kristan,Elvyn,688,387.22,329.2
2499,Reeba,Ethban,99,164.77,8039.5
2500,Rozele,Kendrick,831,297.97,7589
2501,Janis,Raimondo,793,120.86,4680.3
2502,Orsola,Terencio,415,104.07,9434.6
2503,Allis,Drus,537,123.52,2391.8
2504,Lolita,Candy,51,683.67,8971.3
2505,Donnie,Anderea,958,866.59,3948.4
2506,Jennica,Darrell,373,386.01,93
2507,Steffane,Crudden,98,744.38,1504.3
2508,Jacenta,Drus,966,758.01,844.9
2509,Dione,Sekofski,401,4.48,3232.7
2510,Jolyn,Koziara,159,133.09,1998.2
2511,Dorothy,Buttaro,420,600.38,3868.9
2512,Ardys,Lindemann,372,185.75,4714.2
2513,Norine,Arathorn,360,934.22,5484
2514,Dotty,Kesley,244,282.81,9298.6
2515,Alie,Swanhildas,678,113.55,7815.3
2516,Ulrike,Korey,468,212.28,3965.3
2517,Paule,Elsinore,66,382.63,2729.9
2518,Rivalee,Wind,753,446.45,6346.4
2519,Jillayne,Swanhildas,953,10.29,9594.4
2520,Teddie,Pillsbury,514,9.62,3692.8
2521,Elora,Grobe,892,30.47,4674.5
2522,Elyssa,Kussell,480,994.22,3106.1
2523,Celestyna,Gavrila,399,832.08,1589.3
2524,Jinny,Wesle,421,111.54,7316.7
2525,Drucie,Mauer,509,844.03,454.7
2526,Evita,Natica,221,628.43,9896.5
2527,Shel,Cynar,689,430.59,9077.9
2528,Vivia,Standing,220,598.94,5450.9
2529,Bernie,Maisey,113,885.98,1309.6
2530,Madeleine,Waldron,184,416.4,2183.5
2531,Kassey,Lesley,6,57.61,1890.3
2532,Chrystel,Amasa,913,601.18,3752.8
2533,Aigneis,Earlie,671,536.14,8765.7
2534,Frances,Kiyoshi,461,809.96,5978.3
2535,Tilly,Stanwood,197,173.96,7087.8
2536,Pamella,Sisile,414,986.04,5172.9
2537,Daune,Hanshaw,141,911.5,6769.5
2538,Lita,Martsen,838,501.26,653.9
2539,Karlee,Celestine,435,352.85,7148.5
2540,Yetty,Tamar,468,385.87,951.8
2541,Lolita,Ledah,580,856.57,8018.6
2542,Cathie,Ariella,541,538.71,8163.5
2543,Ricky,Fabiola,598,558.78,3272.3
2544,Mellicent,Morgun,593,927.42,3124.4
2545,Drucie,Phyllis,961,545.56,1511.8
2546,Taffy,Cynar,416,872.93,8834
2547,Damaris,Desai,566,258.91,5766.9
2548,Merry,Syd,855,868.53,3320.9
2549,Betta,Huggins,991,987.83,3757.3
2550,Marcy,Erskine,932,555.63,1528.1
2551,Lanna,Leopold,287,558.43,6296.6
2552,Blondelle,Francyne,726,996.45,2636.1
2553,Suzette,Peg,153,331.98,8970
2554,Nananne,Abernon,637,59.27,7869.7
2555,Hettie,Junie,335,251.92,4037.2
2556,Gratia,Alisia,828,202,6307.1
2557,Betta,Carleen,541,423.82,3124.2
2558,Damaris,Ball,4,470.59,3417.7
2559,Tori,Ball,583,189.26,4051.9
2560,Veda,Dex,631,942.62,6977.8
2561,Etta,Giff,89,226.89,4580.9
2562,Elora,Diann,313,265.2,9409
2563,Lilith,Penelopa,881,805.53,479.8
2564,Demetris,Emmy,366,752.36,6565.5
2565,Flory,Bronk,367,650.77,5750
2566,Jobi,Moseley,422,64.38,2775.7
2567,Pollyanna,Corilla,715,184.35,9630.9
2568,Blake,Marden,979,466.55,6444.9
2569,Sindee,Karl,241,156.76,7141.5
2570,Minda,Bach,151,454.17,3853.5
2571,Susette,Jalbert,372,805.11,3291.1
2572,Sandie,Rossner,678,595.23,982
2573,Corina,Grosz,827,638.33,4444.4
2574,Kylynn,Quent,978,764.34,2502
2575,Tracey,Nance,338,286.29,9683.3
2576,Dianemarie,Cleo,416,48.47,9128
2577,Madeleine,Parette,167,500.27,2964.6
2578,Jean,Gusella,682,336.73,4160.6
2579,Britte,Abbot,284,298.92,7861.3
2580,Iseabal,Dannye,240,733.16,2064.4
2581,Rubie,Poll,623,186.26,164.5
2582,Belva,Karylin,182,844,3607.7
2583,Marita,Brackely,779,617.64,4869.6
2584,Maisey,Arvo,364,839.3,271.5
2585,Clary,Duwalt,807,388.65,9383.6
2586,Lynnea,Lenny,180,792.68,2012.2
2587,Odessa,Hermes,751,410.45,1382.9
2588,Eve,Brackely,275,983.26,5559.4
2589,Dominga,Ailyn,367,751.29,2999.9
2590,Ketti,Vilma,64,255.53,9230.6
2591,Ottilie,Telfer,970,365.24,7920.4
2592,Elbertina,Halsey,661,637.53,1714.3
2593,June,Harl,632,330.82,1090.4
2594,Annabela,Chick,541,130.47,8986.1
2595,Rhea,Bollay,169,807.31,3469.3
2596,Jere,Delp,859,370.09,7751.5
2597,Babita,Fitzsimmons,242,183.06,7001.9
2598,Margalo,Cassius,767,154.86,4161.4
2599,Mamie,Suanne,327,911.21,3944.2
2600,Marnia,Garek,945,649.76,7485.1
2601,Melodie,Michella,688,128.22,5352.1
2602,Tressa,Hieronymus,532,752.73,8674.5
2603,Norine,Ursulette,976,159.46,9248.4
2604,Basia,Huggins,880,222.91,9662.9
2605,Andree,Taam,381,845.62,6406.5
2606,Addia,Dermott,363,45.83,634.4
2607,Alisha,Letsou,222,559.44,3307.8
2608,Angelique,Lissi,534,83.25,2386.1
2609,Trudie,Wind,603,829.08,7215.8
2610,Anthia,Holtz,721,281.13,3440.8
2611,Lorne,Firmin,458,806.34,2067.6
2612,Regina,Alfons,381,713.71,5520.4
2613,Modestia,Alcott,32,690.95,2999
2614,Dacia,Kathie,776,492.5,9986.5
2615,Georgina,Greenwald,866,664.45,4224
2616,Tersina,Abernon,841,113.98,3164.5
2617,Celene,Charity,900,112.24,1699.2
2618,Xylina,Trace,543,362.06,5346.8
2619,Gratia,Ailyn,583,945.59,7940.4
2620,Barbara,Kendrick,32,941,3469.4
2621,Bernardine,Chandler,197,711.94,1809.5
2622,Taffy,Erlandson,254,305.83,8652.9
2623,Estell,Monk,326,701.22,6741.4
2624,Leeanne,Rugen,487,651.15,4771.2
2625,Jaclyn,Reidar,40,610.76,7862.3
2626,Pierette,Phyllis,947,855.44,6403.2
2627,Marnia,Orpah,778,72.55,320.3
2628,Nita,Sancho,66,834.86,3912.7
2629,Dale,Cloris,434,520.3,7166
2630,Minda,Seagraves,327,217.88,6599.7
2631,Micheline,Bach,967,818.26,6232.6
2632,Regina,Ezar,355,62.03,6279.3
2633,Tonia,Garrison,927,875.15,3764.2
2634,Merrie,Dreda,741,570.46,7299.8
2635,Brandise,Rosalba,472,458.06,4601.9
2636,Ellette,Kravits,195,946.5,268.1
2637,Sherrie,Merat,168,758.73,3135.9
2638,Vevay,Oriana,757,626.74,1861.4
2639,Elora,Gaulin,855,405.18,2671.6
2640,Lonnie,Ellerey,744,453.86,3480
2641,Mallory,Jobi,483,529.77,7723.9
2642,Wynne,Cloris,687,290.49,4178
2643,Aubrie,Sisile,846,332.84,5420.8
2644,Elsie,Lamoree,580,409.69,1774.8
2645,Orsola,Primalia,574,812.63,4572.7
2646,Alia,Saunderson,592,316.28,6544.5
2647,Sherrie,Vharat,435,333.56,4295
2648,Elfreda,Briney,675,76.6,8336.5
2649,Leeanne,Kussell,373,238.21,6185.8
2650,Brooks,Allys,148,93.51,9044.1
2651,Agnese,Gilmour,189,404.11,5283.9
2652,Katharina,Silvan,806,552.53,9950.9
2653,Jsandye,Israeli,904,388.44,4396.7
2654,Beatriz,Faria,162,256.73,5788.5
2655,Britte,Mehalek,867,453.02,4601.7
2656,Leona,Peti,999,478.93,3289.9
2657,Xylina,Albertine,816,201.4,8986.5
2658,Ann-Marie,Goddard,279,462.89,1722.3
2659,Gloria,Ciapas,592,489.7,2407
2660,Britte,Bouchard,14,967.97,6614.1
2661,Eolanda,Pip,558,808.34,8188.3
2662,Natka,Erich,952,339.36,9515.6
2663,Esmeralda,Jammal,682,373.42,2502.9
2664,Gisela,Travax,169,430.85,228.4
2665,Marika,Merriott,268,989.46,8247.2
2666,Belinda,Celestine,282,720.31,4650.2
2667,Allis,Kiyoshi,306,139.41,4118.5
2668,Jemie,Publia,660,577.22,5206.7
2669,Brooks,Pettiford,952,379.14,9189.2
2670,Sean,Drisko,26,972.05,7741.3
2671,Lusa,Eno,195,392.53,5105.7
2672,Rhea,Ariella,560,568.85,9305.7
2673,Moyna,Crudden,204,501.64,9274.1
2674,Lucy,Minetta,246,10.81,9185.7
2675,Sashenka,Afton,236,901.64,317.3
2676,Malina,Bow,510,704.98,5520.7
2677,Celene,Gordon,292,225.39,8612.2
2678,Daphne,Abbot,904,996.23,9850.8
2679,Christian,Berne,411,134.07,483.1
2680,Babita,Barbey,757,13.81,2970.1
2681,Sharai,Rad,819,72.78,1776.3
2682,Latisha,Gale,647,509.96,5254.3
2683,Modestia,Iaverne,696,794.41,5405.9
2684,Cam,Krystle,84,479.18,3686
2685,Elie,Jerold,984,508.71,184.8
2686,Di,Yam,461,572.33,1928.9
2687,Grier,Erskine,961,950.57,4969.6
2688,Joelly,Eno,828,316.83,4826.7
2689,Kial,MacIntosh,80,694.8,8938.8
2690,Genovera,Ledah,95,345.61,4914.5
2691,Tressa,Pettiford,251,303.01,2054.3
2692,Chrystel,Boycey,54,57.78,6513.2
2693,Dulcinea,Norrie,110,652.32,7590.2
2694,Talya,Tybald,99,182.28,8885.8
2695,Nelle,Ruvolo,669,914.44,5789
2696,Catharine,Sprage,673,611.3,9552
2697,Rochette,Mozelle,972,732.15,6994.7
2698,Gerianna,Delila,620,103.61,3627.5
2699,Ricky,Ricarda,266,150.26,654.9
2700,Chastity,Lucienne,100,196.92,893.3
2701,Calla,Gahl,712,438.38,2525.4
2702,Dari,Dominy,856,838.02,3325.5
2703,Patricia,Seumas,710,892.73,1141.2
2704,Letizia,Robertson,431,154.4,2944.3
2705,Arlina,Redmond,233,678.87,7834
2706,Starla,Sekofski,932,816.76,1889
2707,Caressa,Frendel,80,607.18,3848.7
2708,Ulrike,Hanshaw,250,293.8,1586.4
2709,Philis,Brittani,475,808.77,9920.9
2710,Lucille,Audly,880,853.71,6316.1
2711,Inga,Trey,90,419.47,3633.8
2712,Vere,Bonilla,274,591.92,320.2
2713,Kate,Oscar,969,976.67,8607.2
2714,Gretal,Orelee,930,207.61,6222.5
2715,Agnese,Hoban,409,166.37,9774
2716,Blondelle,Joli,337,39.09,2760.8
2717,Therine,Gavrila,759,255.63,4631.1
2718,Oralee,Anis,982,375.01,6396.2
2719,Micheline,Stefa,769,948.79,2934.4
2720,Tani,Freddi,626,163.6,7430.6
2721,Fawne,Noman,517,879.83,8312.8
2722,Britni,Grobe,389,213.84,4120.4
2723,Konstance,Croix,431,132.67,4661.9
2724,Maridel,Monaco,807,243.63,232.2
2725,June,Nedrud,239,755.08,3281.4
2726,Peri,Zina,578,884.44,1523.3
2727,Karlee,Dannye,8,580.15,5397.4
2728,Jany,Ade,585,822.02,692.4
2729,Fredericka,Odell,597,371.4,4218.3
2730,Vonny,Stefa,375,499.8,9628.1
2731,Bee,Germann,84,484.94,8126.2
2732,Shauna,Schalles,275,749.76,9248.9
2733,Dari,Lilas,44,341.92,979.5
2734,Nataline,Radu,821,218.31,2878.9
2735,Stevana,Casimir,88,785.75,2797.3
2736,Hildegaard,Maiah,753,656.4,2801.1
2737,Darlleen,Anestassia,210,463.21,9173.9
